Designator,Mid X,Mid Y,Rotation,Layer
C1,216.3,-89.85,270.0,top
C10,182.3,-90.6,270.0,top
C11,185.8,-90.1,180.0,top
C12,183.05,-102.1,180.0,top
C13,185.8,-98.6,180.0,top
C2,199.3,-92.1,90.0,top
C3,201.55,-92.1,90.0,top
C4,224.3,-118.35,90.0,top
C5,219.55,-126.35,270.0,top
C6,197.55,-109.625,90.0,top
C7,219.8,-119.6,90.0,top
C8,178.8,-99.1,270.0,top
C9,178.8,-105.6,90.0,top
CN1,186.05,-83.1,180.0,top
CN2,194.3,-83.1,180.0,top
D1,214.8,-86.35,180.0,top
D2,224.05,-106.6,270.0,top
D3,217.3,-106.85,270.0,top
D4,221.55,-116.6,0.0,top
D5,216.55,-101.85,90.0,top
D6,179.028171,-92.248064,90.0,top
H1,179.55,-83.35,0.0,top
H2,179.55,-126.85,0.0,top
H3,223.05,-126.85,0.0,top
H4,223.05,-83.35,0.0,top
J4,204.0325,-82.9175,0.0,top
J5,215.0325,-82.9175,0.0,top
J6,190.7825,-127.1675,0.0,top
JP1,205.8,-86.35,90.0,top
JP2,208.55,-86.35,270.0,top
JP3,188.8,-102.85,0.0,top
JP4,194.55,-99.6,0.0,top
L2,190.55,-96.35,270.0,top
L3,186.3,-105.35,90.0,top
LED1,210.55,-101.1,90.0,top
LED2,212.8,-101.1,90.0,top
R1,221.8,-98.35,0.0,top
R10,185.05,-114.35,270.0,top
R11,187.8,-114.35,90.0,top
R13,193.3,-121.35,270.0,top
R14,196.05,-121.35,270.0,top
R15,208.8,-105.6,270.0,top
R16,205.8,-105.6,270.0,top
R17,194.8,-109.525,270.0,top
R18,222.475,-122.1,180.0,top
R19,184.49769,-126.522538,90.0,top
R2,213.3,-89.6,90.0,top
R20,186.05,-108.85,180.0,top
R21,194.55,-95.1,90.0,top
R3,221.8,-107.85,270.0,top
R4,219.8,-107.85,270.0,top
R5,197.3,-92.025,270.0,top
R6,197.3,-95.6,270.0,top
R7,209.8,-98.35,0.0,top
R8,211.05,-95.35,0.0,top
R9,185.05,-121.6,270.0,top
SW1,222.55,-113.35,0.0,top
SW2,221.55,-102.6,0.0,top
U1,208.55,-118.1,180.0,top
U2,183.05,-106.6,0.0,top
U3,185.3,-94.1,180.0,top
USB1,221.4675,-91.6,90.0,top
