Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF/10V,C326595
"C10, C2, C5, C6, C7",0603,5,100nF 25V,C14663
C11,0603,1,3.3nF 25V,C107088
"C12, C13",0805,2,22uF 25V,C602037
"C3, C4",0805,2,1uF 25V,5370002
"C8, C9",1210,2,10uF 25V,C577292
D1,SOD-123_L2.7-W1.6-LS3.7-FD,1,B0540W,C7420325
"D2, D3",D_SOD-523,2,ESD5B5.0S,C2936975
"D4, D5",D_SOD-523,2,ESD5Z3.3T,C61148
D6,SMB_L4.3-W3.6-LS5.3-RD,1,SS24-SMB,C908683
"J1, J2",CONN-TH_2P-P5.08_DB128L-5.08-2P-BK-S,2,DB128L-5.08-2P-BK-S,C430601
"J4, J5, J6",CONN-TH_B4B-PH-K-S,3,Conn_01x04_Socket,C144395
"LED1, LED2",LED0603-RD_RED,2,XL-1608SURC-06,C965799
"R1, R2",0603,2,5.1K,C125891
"R10, R11, R17, R18, R19, R5, R6, R7, R8, R9",0603,10,10K,C860067
"R13, R14, R15, R16",0603,4,2.2K,C113303
"R20, R21",0603,2,100k,C122538
"R3, R4",0603,2,33R,C108407
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16R8),C2913202
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
